secid,date,days,forward_price,strike_price,premium,impl_volatility,cp_flag,ticker,index_flag
107929,20120516,152,52.248909,52.248909,2.966707,0.220708,P,NGG,0
107929,20120516,182,52.275494,52.275494,3.307896,0.224866,P,NGG,0
107929,20120517,30,53.010521,53.010521,1.176162,0.19404,C,NGG,0
107929,20120517,60,53.031273,53.031273,1.086297,0.126721,C,NGG,0
107929,20120517,91,53.055465,53.055465,1.334135,0.126381,C,NGG,0
107929,20120517,122,53.080941,53.080941,1.555809,0.127293,C,NGG,0
107929,20120517,152,53.107236,53.107236,1.773857,0.130034,C,NGG,0
107929,20120517,182,53.134275,53.134275,1.959515,0.131281,C,NGG,0
107929,20120517,30,53.010521,53.010521,2.737565,0.451821,P,NGG,0
107929,20120517,60,53.031273,53.031273,2.842678,0.331648,P,NGG,0
107929,20120517,91,53.055465,53.055465,2.899719,0.27458,P,NGG,0
107929,20120517,122,53.080941,53.080941,3.344867,0.273526,P,NGG,0
107929,20120517,152,53.107236,53.107236,3.68577,0.269993,P,NGG,0
107929,20120517,182,53.134275,53.134275,3.973596,0.26597,P,NGG,0
107929,20120518,30,52.820484,52.820484,0.920717,0.152436,C,NGG,0
107929,20120518,60,52.841593,52.841593,1.11092,0.130061,C,NGG,0
107929,20120518,91,52.865599,52.865599,1.368285,0.130083,C,NGG,0
107929,20120518,122,52.891091,52.891091,1.58967,0.130533,C,NGG,0
107929,20120518,152,52.917533,52.917533,1.791104,0.131771,C,NGG,0
107929,20120518,182,52.94471,52.94471,1.966376,0.132215,C,NGG,0
107929,20120518,30,52.820484,52.820484,3.054015,0.505961,P,NGG,0
107929,20120518,60,52.841593,52.841593,2.868064,0.33582,P,NGG,0
107929,20120518,91,52.865599,52.865599,2.998636,0.284994,P,NGG,0
107929,20120518,122,52.891091,52.891091,3.44994,0.283165,P,NGG,0
107929,20120518,152,52.917533,52.917533,3.763563,0.27671,P,NGG,0
107929,20120518,182,52.94471,52.94471,4.014773,0.269708,P,NGG,0
107929,20120521,30,51.383598,52.199409,1.348229,0.161692,C,NGG,0
107929,20120521,60,51.404407,51.839228,1.724452,0.164556,C,NGG,0
107929,20120521,91,51.427093,51.427093,2.160555,0.172934,C,NGG,0
107929,20120521,122,51.451251,51.451251,2.353705,0.18032,C,NGG,0
107929,20120521,152,51.475718,51.475718,2.49402,0.181257,C,NGG,0
107929,20120521,182,51.501054,51.501054,2.642914,0.179875,C,NGG,0
107929,20120521,30,51.383598,51.383598,1.287251,0.219023,P,NGG,0
107929,20120521,60,51.404407,51.404407,1.68208,0.202283,P,NGG,0
107929,20120521,91,51.427093,51.427093,2.092262,0.204245,P,NGG,0
107929,20120521,122,51.451251,51.451251,2.392444,0.201639,P,NGG,0
107929,20120521,152,51.475718,51.475718,2.48931,0.187858,P,NGG,0
107929,20120521,182,51.501054,51.501054,2.57731,0.177646,P,NGG,0
107929,20120522,30,50.833573,50.833573,2.331399,0.285365,C,NGG,0
107929,20120522,60,50.854202,50.854202,2.414305,0.250396,C,NGG,0
107929,20120522,91,50.876677,50.876677,2.265878,0.194673,C,NGG,0
107929,20120522,122,50.900388,50.900388,2.487076,0.199364,C,NGG,0
107929,20120522,152,50.92418,50.92418,2.768742,0.205854,C,NGG,0
107929,20120522,182,50.948656,50.948656,2.969671,0.205764,C,NGG,0
107929,20120522,30,50.833573,50.833573,1.226926,0.211012,P,NGG,0
107929,20120522,60,50.854202,50.854202,1.591622,0.193461,P,NGG,0
107929,20120522,91,50.876677,50.876677,1.939361,0.191337,P,NGG,0
107929,20120522,122,50.900388,50.900388,2.220392,0.189125,P,NGG,0
107929,20120522,152,50.92418,50.92418,2.349985,0.179232,P,NGG,0
107929,20120522,182,50.948656,50.948656,2.415928,0.168286,P,NGG,0
107929,20120523,30,50.813707,51.718788,1.243915,0.16314,C,NGG,0
107929,20120523,60,50.834686,51.375641,1.59535,0.16314,C,NGG,0
107929,20120523,91,50.857467,50.971337,2.003007,0.163179,C,NGG,0
107929,20120523,122,50.881697,50.881697,2.347613,0.189679,C,NGG,0
107929,20120523,152,50.906379,50.906379,2.550977,0.190427,C,NGG,0
107929,20120523,182,50.931975,50.931975,2.748423,0.190404,C,NGG,0
107929,20120523,30,50.813707,50.813707,1.301508,0.223935,P,NGG,0
107929,20120523,60,50.834686,50.834686,1.64783,0.20038,P,NGG,0
107929,20120523,91,50.857467,50.857467,1.932829,0.190761,P,NGG,0
107929,20120523,122,50.881697,50.881697,2.20847,0.188173,P,NGG,0
107929,20120523,152,50.906379,50.906379,2.417186,0.184439,P,NGG,0
107929,20120523,182,50.931975,50.931975,2.591587,0.180636,P,NGG,0
107929,20120524,30,50.863856,51.581247,1.442719,0.195103,C,NGG,0
107929,20120524,60,50.884906,51.073346,1.955592,0.195104,C,NGG,0
