<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IBE.MC,D,20060621,000000,6.44,6.50,6.34,6.50,66838800,0
IBE.MC,D,20060622,000000,6.57,6.60,6.50,6.56,41074400,0
IBE.MC,D,20060623,000000,6.55,6.60,6.53,6.60,21011300,0
IBE.MC,D,20060626,000000,6.62,6.62,6.48,6.55,49871100,0
IBE.MC,D,20060627,000000,6.55,6.59,6.49,6.51,38863000,0
IBE.MC,D,20060628,000000,6.50,6.55,6.47,6.50,25896000,0
IBE.MC,D,20060629,000000,6.52,6.65,6.47,6.61,31779300,0
IBE.MC,D,20060630,000000,6.68,6.77,6.64,6.73,34899000,0
IBE.MC,D,20060703,000000,6.67,6.67,6.41,6.58,29000500,0
IBE.MC,D,20060704,000000,6.58,6.61,6.55,6.57,13825400,0
IBE.MC,D,20060705,000000,6.53,6.57,6.51,6.57,29283200,0
IBE.MC,D,20060706,000000,6.57,6.66,6.55,6.58,84457200,0
IBE.MC,D,20060707,000000,6.59,6.61,6.53,6.59,15190300,0
IBE.MC,D,20060710,000000,6.61,6.61,6.54,6.60,28867400,0
IBE.MC,D,20060711,000000,6.57,6.64,6.54,6.57,58076700,0
IBE.MC,D,20060712,000000,6.57,6.65,6.57,6.57,21423200,0
IBE.MC,D,20060713,000000,6.54,6.55,6.46,6.48,57515700,0
IBE.MC,D,20060714,000000,6.41,6.49,6.41,6.43,12492600,0
IBE.MC,D,20060717,000000,6.45,6.46,6.36,6.43,21258100,0
IBE.MC,D,20060718,000000,6.41,6.47,6.39,6.43,11789800,0
IBE.MC,D,20060719,000000,6.45,6.56,6.40,6.53,15358400,0
IBE.MC,D,20060720,000000,6.57,6.62,6.51,6.57,33622200,0
IBE.MC,D,20060721,000000,6.53,6.59,6.49,6.49,55927500,0
IBE.MC,D,20060724,000000,6.51,6.65,6.49,6.62,39786500,0
IBE.MC,D,20060725,000000,6.65,6.71,6.61,6.70,50132300,0
IBE.MC,D,20060726,000000,6.71,6.75,6.68,6.73,12927000,0
IBE.MC,D,20060727,000000,6.76,6.91,6.76,6.88,31477000,0
IBE.MC,D,20060728,000000,6.86,7.08,6.86,6.96,25945900,0
IBE.MC,D,20060731,000000,6.95,7.02,6.89,6.95,40193600,0
IBE.MC,D,20060801,000000,6.91,7.01,6.86,6.88,16046300,0
IBE.MC,D,20060802,000000,6.92,6.99,6.89,6.97,10843700,0
IBE.MC,D,20060803,000000,6.98,7.00,6.88,6.94,14723300,0
IBE.MC,D,20060804,000000,6.95,7.05,6.93,7.03,27347700,0
IBE.MC,D,20060807,000000,6.96,7.04,6.90,6.94,13509800,0
IBE.MC,D,20060808,000000,6.96,7.04,6.91,7.01,14801500,0
IBE.MC,D,20060809,000000,7.04,7.12,6.95,7.12,17059000,0
IBE.MC,D,20060810,000000,7.08,7.11,7.00,7.11,15660100,0
IBE.MC,D,20060811,000000,7.12,7.12,7.07,7.09,12160000,0
IBE.MC,D,20060814,000000,7.10,7.17,7.09,7.15,16130500,0
IBE.MC,D,20060815,000000,7.15,7.27,7.13,7.23,10380300,0
IBE.MC,D,20060816,000000,7.23,7.31,7.19,7.29,18173200,0
IBE.MC,D,20060817,000000,7.26,7.30,7.18,7.22,15477700,0
IBE.MC,D,20060818,000000,7.22,7.22,7.07,7.12,14190000,0
IBE.MC,D,20060821,000000,7.11,7.17,7.09,7.13,5460900,0
IBE.MC,D,20060822,000000,7.18,7.19,7.03,7.15,14655700,0
IBE.MC,D,20060823,000000,7.17,7.18,7.07,7.07,11477800,0
IBE.MC,D,20060824,000000,7.09,7.11,7.05,7.11,10103100,0
IBE.MC,D,20060825,000000,7.12,7.18,7.08,7.12,9048500,0
IBE.MC,D,20060828,000000,7.16,7.18,7.07,7.16,7783800,0
IBE.MC,D,20060829,000000,7.16,7.25,7.16,7.22,18989500,0
IBE.MC,D,20060830,000000,7.25,7.25,7.21,7.24,8503500,0
IBE.MC,D,20060831,000000,7.25,7.29,7.21,7.24,11662800,0
IBE.MC,D,20060901,000000,7.27,7.28,7.21,7.26,10960100,0
